"2";"1";"1";"riverrun, past Eve and Adam’s, from swerve of shore to bend of bay, brings us by a commodius vicus of recirculation back
to Howth Castle and Environs."
"3";"1";"2";"Sir Tristram, violer d’amores, fr’over the short sea, had passen-core rearrived from North Armorica on this side the"
"4";"1";"3";"scraggy isthmus of Europe Minor to wielderfight his penisolate war: nor had topsawyer’s rocks by the stream Oconee"
"5";"1";"4";"exaggerated themselse to Laurens County’s gorgios while they went doublin their mumper all the time: nor avoice from afire"
"6";"1";"5";"bellowsed mishe mishe to tauftauf thuartpeatrick not yet, though venissoon after, had a kidscad buttended a bland old isaac:"
"7";"1";"6";"not yet, though all’s fair in vanessy, were sosie sesthers wroth with twone nathandjoe. Rot a peck of pa’s malt had Jhem or"
"8";"1";"7";"Shen brewed by arclight and rory end to the regginbrow was to be seen ringsome on the aquaface."
"9";"1";"8";"The fall (bababadalgharaghtakamminarronnkonnbronntonner-ronntuonnthunntrovarrhounawnskawntoohoohoordenenthur - nuk!) of a"
"10";"1";"9";"once wallstrait oldparr is retaled early in bed and later on life down through all christian minstrelsy. The great fall of"
"11";"1";"10";"the offwall entailed at such short notice the pftjschute of Finnegan, erse solid man, that the humptyhillhead of humself"
"12";"1";"11";"prumptly sends an unquiring one well to the west in quest of his tumptytumtoes: and their upturnpikepointandplace is at the"
"13";"1";"12";"knock out in the park where oranges have been laid to rust upon the green since dev-linsfirst loved livvy."
"14";"1";"13";"What clashes here of wills gen wonts, oystrygods gaggin fishy-gods! Brékkek Kékkek Kékkek Kékkek! Kóax Kóax Kóax! Ualu"
"15";"1";"14";"Ualu Ualu! Quaouauh! Where the Baddelaries partisans are still out to mathmaster Malachus Micgranes and the Verdons"
"16";"1";"15";"cata-pelting the camibalistics out of the Whoyteboyce of Hoodie Head. Assiegates and boomeringstroms. Sod’s brood, be me"
"17";"1";"16";"fear! Sanglorians, save! Arms apeal with larms, appalling. Killykill-killy: a toll, a toll. What chance cuddleys, what"
"18";"1";"17";"cashels aired and ventilated! What bidimetoloves sinduced by what tegotetab-solvers! What true feeling for their’s hayair"
"19";"1";"18";"with what strawng voice of false jiccup! O here here how hoth sprowled met the duskt the father of fornicationists but, (O"
"20";"1";"19";"my shining stars and body!) how hath fanespanned most high heaven the skysign of soft advertisement! But was iz? Iseut? Ere"
"21";"1";"20";"were sewers? The oaks of ald now they lie in peat yet elms leap where askes lay. Phall if you but will, rise you must: and"
"22";"1";"21";"none so soon either shall the pharce for the nunce come to a setdown secular phoenish."
"23";"1";"22";"Bygmester Finnegan, of the Stuttering Hand, freemen’s mau-rer, lived in the broadest way immarginable in his rushlit"
"24";"1";"23";"toofar - back for messuages before joshuan judges had given us numbers or Helviticus committed deuteronomy (one yeastyday he"
"25";"1";"24";"sternely struxk his tete in a tub for to watsch the future of his fates but ere he swiftly stook it out again, by the might"
"26";"1";"25";"of moses, the very wat-er was eviparated and all the guenneses had met their exodus so that ought to show you what a"
"27";"1";"26";"pentschanjeuchy chap he was!) and during mighty odd years this man of hod, cement and edi-fices in Toper’s Thorp piled"
"28";"1";"27";"buildung supra buildung pon the banks for the livers by the Soangso. He addle liddle phifie Annie ugged the little craythur."
"29";"1";"28";"Wither hayre in honds tuck up your part inher. Oftwhile balbulous, mithre ahead, with goodly trowel in grasp and ivoroiled"
"30";"1";"29";"overalls which he habitacularly fondseed, like Haroun Childeric Eggeberth he would caligulate by multiplicab-les the"
"31";"1";"30";"alltitude and malltitude until he seesaw by neatlight of the liquor wheretwin ’twas born, his roundhead staple of other days"
"32";"1";"31";"to rise in undress maisonry upstanded (joygrantit!), a waalworth of a skyerscape of most eyeful hoyth entowerly, erigenating"
"33";"1";"32";"from  next to nothing and celescalating the himals and all, hierarchitec-titiptitoploftical, with a"
"34";"1";"33";"burning bush abob off its baubletop and with larrons o’toolers clittering up and tombles a’buckets clottering down."
"35";"1";"34";"Of the first was he to bare arms and a name: Wassaily Boos-laeugh of Riesengeborg. His crest of huroldry, in vert with"
"36";"1";"35";"ancillars, troublant, argent, a hegoak, poursuivant, horrid, horned. His scutschum fessed, with archers strung, helio, of"
"37";"1";"36";"the second. Hootch is for husbandman handling his hoe. Hohohoho, Mister Finn, you’re going to be Mister Finnagain! Comeday"
"38";"1";"37";"morm and, O, you’re vine! Sendday’s eve and, ah, you’re vinegar! Hahahaha, Mister Funn, you’re going to be fined again!"
"39";"1";"38";"What then agentlike brought about that tragoady thundersday this municipal sin business? Our cubehouse still rocks as"
"40";"1";"39";"earwitness to the thunder of his arafatas but we hear also through successive ages that shebby choruysh of unkalified"
"41";"1";"40";"muzzlenimiissilehims that would blackguardise the whitestone ever hurtleturtled out of heaven. Stay us wherefore in our"
"42";"1";"41";"search for tighteousness, O Sus-tainer, what time we rise and when we take up to toothmick and before we lump down upown our"
"43";"1";"42";"leatherbed and in the night and at the fading of the stars ! For a nod to the nabir is better than wink to the wabsanti."
"44";"1";"43";"Otherways wesways like that provost scoffing bedoueen the jebel and the jpysian sea. Cropherb the crunch-bracken shall"
"45";"1";"44";"decide. Then we’ll know if the feast is a flyday. She has a gift of seek on site and she allcasually ansars helpers, the"
"46";"1";"45";"dreamydeary. Heed! Heed ! It may half been a missfired brick, as some say, or it mought have been due to a collupsus of his"
"47";"1";"46";"back promises, as others looked at it. (There extand by now one thou-sand and one stories, all told, of the same). But so"
"48";"1";"47";"sore did abe ite ivvy’s holired abbles, (what with the wallhall’s horrors of rolls-rights, carhacks, stonengens, kisstvanes,"
"49";"1";"48";"tramtrees, fargobawlers, autokinotons, hippohobbilies, streetfleets, tournintaxes, mega-phoggs, circuses and wardsmoats and"
"50";"1";"49";"basilikerks and aeropagods and the hoyse and the jollybrool and the peeler in the coat and the mecklenburk bitch bite at his"
"51";"1";"50";"ear and the merlinburrow bur-rocks and his fore old porecourts, the bore the more, and his"
"52";"1";"51";"blightblack workingstacks at twelvepins a dozen and the noobi-busses sleighding along Safetyfirst Street and the"
